1	SCMP (Çin)	Can Xi and Trump use their leverage to actually make progress?	Xi ve Trump, Nüfuzlarını Gerçek Bir İlerleme için Kullanabilir mi?
2	TASS	Iran is not holding any negotiations with US — ambassador to Russia	İran, ABD ile Herhangi Bir Müzakere Yürütmüyor — Rusya Büyükelçisi
3	TASS	IN BRIEF: What is known about Hungary’s refusal to join Carpathian Eight	KISACA: Macaristan'ın Karpat Sekizlisi'ne Katılmayı Reddetmesi Hakkında Bilinenler
4	SCMP (Çin)	How are China’s Type 052D destroyers shifting the balance in the western Pacific?	Çin'in Type 052D Muhripleri Batı Pasifik'teki Dengeyi Nasıl Değiştiriyor?
5	TASS	US, Denmark, Greenland sign agreement on island's security	ABD, Danimarka ve Grönland, Adanın Güvenliğine İlişkin Anlaşma İmzaladı
6	Indian Defence News	India And Norway Solidify Alliance For Sustainable Future And Climate Action Under Green Strategic Partnership	Hindistan ve Norveç, Yeşil Stratejik Ortaklık Kapsamında Sürdürülebilir Gelecek ve İklim Eylemi için İttifakı Pekiştiriyor
7	Defence24 (PL)	Ukraińcy uderzyli w rosyjską bazę dronów w obwodzie orłowskim	Ukraynalılar, Orel Oblastı’ndaki Rus Dron Üssüne Saldırdı
8	TASS	US studying tougher Russia sanctions law — Trump	ABD, Rusya'ya Yönelik Daha Sert Yaptırım Yasasını İnceliyor — Trump
9	TASS	Japanese PM calls for reform of UN Security Council	Japonya Başbakanı BM Güvenlik Konseyi'nde Reform Çağrısı Yaptı
10	SCMP (Çin)	Survey finds US public opinion shifting in favour of engagement with China	Ankete Göre ABD Kamuoyu Çin ile Angajman Lehine Yöneliyor
11	TASS	Witkoff calls consultations with Iran through mediators successful	Witkoff, Arabulucular Aracılığıyla İran ile Yapılan İstişareleri Başarılı Olarak Nitelendirdi
12	Defence24 (PL)	Pierwszy F-35 dla Niemiec gotowy. Czy wyprzedzą Polskę?	Almanya İçin İlk F-35 Hazır. Polonya’yı Geçecekler mi?
13	TASS	Trump keeps Kiev concessions secret, says deal with Russia coming	Trump, Kiev'in Tavizlerini Gizli Tutuyor, Rusya ile Anlaşmanın Geldiğini Söylüyor
14	Defence24 (PL)	MACRO-SYSTEM na MSPO 2026. Firma rusza z produkcją	MSPO 2026’da MACRO-SYSTEM. Şirket Üretime Başlıyor
15	Breaking Defense	Fate of Air Force’s China Aerospace Studies Institute up in air	Hava Kuvvetleri'nin China Aerospace Studies Institute'ünün Kaderi Belirsiz
16	Interfax	Лавров отметил зарубежную военно-биологическую активность под мирными предлогами	Lavrov, Barışçıl Bahaneler Altında Yürütülen Yabancı Askeri-Biyolojik Faaliyete Dikkat Çekti
17	Defence24 (PL)	Trump zapowiedział rychłe zakończenie wojny w Ukrainie i z Iranem	Trump, Ukrayna’daki ve İran’la Savaşın Yakında Sona Ereceğini Duyurdu
18	Quwa Defence News	From F-16s to Empty Hands: How Pakistan Dropped Its Foreign Policy Bargaining Power	F-16'lardan Boş Ellere: Pakistan Dış Politika Pazarlık Gücünü Nasıl Kaybetti
19	EDR Magazine	► Thales officially inaugurates new Connectivity Lab in Denmark to strengthen critical communication technology and address operational needs of the Danish Armed Forces	► Thales, Kritik İletişim Teknolojisini Güçlendirmek ve Danimarka Silahlı Kuvvetleri'nin Operasyonel İhtiyaçlarını Karşılamak İçin Danimarka'da Yeni Bağlantı Laboratuvarını Resmen Açtı
20	Interfax	В Эстонии заявили, что американские войска останутся в стране	Estonya, Amerikan Askerlerinin Ülkede Kalacağını Açıkladı
